# Wayback Machine CDX index: medicarestatistics.humanservices.gov.au/SASStoredProcess/* , captures from 2025
# Query (retrieved 2026-09-25): https://web.archive.org/cdx/search/cdx?url=medicarestatistics.humanservices.gov.au/SASStoredProcess/&matchType=prefix&from=2025&fl=timestamp,statuscode,mimetype,original
# Note: no capture in this list has status 200 - every archived call ends in a redirect (302) or revisit (-).
# Columns: timestamp(UTC) status mimetype original-url
20250327010725 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fpbs_group_standard_report&group=0&VAR=SERVICES&RPT_FMT=1&start_dt=202401&end_dt=202412
20260604082238 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/guest?itemlst=&_PROGRAM=SBIP%3A%2F%2FMETASERVER%2FShared+Data%2Fsasdata%2Fprod%2FVEA0032%2FSAS.StoredProcess%2Fstatistics%2Fpbs_item_standard_report
20260505192757 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-1032348-ayiT43lsUeSce5LSrpSh-cas
20260505212344 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-1032516-tRCGFkSCh6dZ9AiKt2PA-cas
20260505221631 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-1032597-vNFSbfhrUBZ10jtBB2ir-cas
20260505234910 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-1032746-MxuvBUmzJa2y5t4qafYm-cas
20260507212915 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-1050664-RzfQfbAPmknOEMSwtXux-cas
20251119125924 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-105165-Uj6BOvHn4xtmvQUn0Pjz-cas
20251119130036 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-107350-YPeLKGNqhCBMNCalKlRg-cas
20251027153540 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-107902-IBRZy4Wzx3eFp2feQCKQ-cas
20251211172002 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-258012-KoGmhNesvzYh7FK9gqkQ-cas
20251211161506 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-263985-NZXFmWPpaMdJ7eg3hOH0-cas
20251211174600 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-265717-wnob1aa4qV9Zdkc9M3cF-cas
20251212015042 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-266400-siqd9B4eULKjBKLQAlZF-cas
20251114003952 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-55820-ifpLeokVIXECwCH2I0my-cas
20251114011034 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-55867-ha1jwFxBOTEHy7cXgq5H-cas
20260227091412 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-693143-ymb5sfbof72rh5vLuV2e-cas
20260227091416 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-693145-yPHfR6sb7c0oKYJdbTH9-cas
20250327003558 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-9622-hBPaIjXBicniFYbANCSb-cas
20250327010727 302 unk https://medicarestatistics.humanservices.gov.au/SASStoredProcess/j_spring_cas_security_check?ticket=ST-9898-F0RIgthkFgTAfADYajfc-cas
